PMID,miRNA,disease
36531954,hsa-mir-155,Intervertebral Disc Degeneration
36143385,hsa-mir-155,Bone Pain
36143385,hsa-mir-155,Hyperalgesia
35883863,hsa-mir-155,Hypertension
35883863,hsa-mir-155,Vascular Diseases
35603999,hsa-mir-155,Non-alcoholic Fatty Liver Disease
35294601,hsa-mir-155,Depression
34703677,hsa-mir-155,"Glomerulonephritis, Membranous"
33869908,hsa-mir-155,"Plaque, Atherosclerotic"
32985331,hsa-mir-155,"Fibrosis, Renal"
32903519,hsa-mir-155,Breast Neoplasms
32806571,hsa-mir-155,Sarcoma
32606747,hsa-mir-155,Colorectal Neoplasms
32547033,hsa-mir-155,Epilepsy
31877411,hsa-mir-155,Silicotuberculosis
31330869,hsa-mir-155,Rotavirus Infections
33486545,hsa-mir-155,Intervertebral Disc Degeneration
33057139,hsa-mir-155,Colorectal Neoplasms
32220051,hsa-mir-155,Glioma
31894293,hsa-mir-155,Rheumatic Heart Disease
36946346,hsa-mir-155,Neuroblastoma
36816357,hsa-mir-155,"Carcinoma, Hepatocellular"
35070952,hsa-mir-155,Squamous Cell Carcinoma of Head and Neck
34190442,hsa-mir-155,Breast Neoplasms
34103994,hsa-mir-155,Urinary Bladder Neoplasms
33194147,hsa-mir-155,"Lymphoma, B-Cell"
33123264,hsa-mir-155,Prostatic Neoplasms
33062603,hsa-mir-155,Ovarian Neoplasms
35635083,hsa-mir-378a,Tendinopathy
36104825,hsa-mir-378a,Stomach Neoplasms
31692053,hsa-mir-378a,Triple Negative Breast Neoplasms
35412951,hsa-mir-378a,Ovarian Neoplasms
34767742,hsa-mir-378a,Nasopharyngeal Carcinoma
34520102,hsa-mir-378a,Ovarian Neoplasms
32808728,hsa-mir-378a,Adenocarcinoma of Lung
35814429,hsa-mir-378a,Colorectal Neoplasms
35681793,hsa-mir-378a,Prostatic Neoplasms
34222341,hsa-mir-378a,Osteosarcoma
34113564,hsa-mir-378a,Breast Neoplasms
33550882,hsa-mir-378a,Obesity
33419758,hsa-mir-378a,Insulin Resistance
33419758,hsa-mir-378a,Metabolic Diseases
33414247,hsa-mir-378a,Insulin Resistance
33414247,hsa-mir-378a,Metabolic Diseases
36576714,hsa-mir-378a,Hepatoblastoma
35154253,hsa-mir-378a,Osteosarcoma
31380269,hsa-mir-212,Heart Failure
36769104,hsa-mir-212,Hypoxia
36769104,hsa-mir-212,"Opitz GBBB Syndrome, X-Linked"
36769104,hsa-mir-212,Cerebrovascular Disorders
31380269,hsa-mir-212,Hypertension
31380269,hsa-mir-212,Hypertrophy
36541900,hsa-mir-212,"Pulmonary Disease, Chronic Obstructive"
33099957,hsa-mir-212,Osteosarcoma
31891679,hsa-mir-212,Osteoporosis
30819403,hsa-mir-212,Osteosarcoma
35696408,hsa-mir-212,"Diarrhea, Bacterial"
34348712,hsa-mir-212,"Carcinoma, Hepatocellular"
33996578,hsa-mir-212,"Carcinoma, Non-Small-Cell Lung"
33298873,hsa-mir-212,Pancreatic Carcinoma
32218845,hsa-mir-212,Nasopharyngeal Carcinoma
30718600,hsa-mir-212,"Kidney Failure, Chronic"
34697900,hsa-mir-212,Prostatic Neoplasms
32039486,hsa-mir-212,Adenocarcinoma of Lung
36263453,hsa-mir-212,Colorectal Neoplasms
34783627,hsa-mir-212,Sepsis
34783627,hsa-mir-212,Acute Kidney Injury
34470571,hsa-mir-212,Fetal Growth Retardation
32346696,hsa-mir-212,Squamous Cell Carcinoma of Head and Neck
31285444,hsa-mir-212,"Carcinoma, Hepatocellular"
31082644,hsa-mir-212,Tuberculosis
34216580,hsa-mir-212,Spinal Cord Injuries
33564265,hsa-mir-212,Stomach Neoplasms
32774496,hsa-mir-212,"Carcinoma, Hepatocellular"
31726103,hsa-mir-212,Stomach Neoplasms
32617074,hsa-mir-135a,Inflammation
34440873,hsa-mir-135a,"Infertility, Female"
30747224,hsa-mir-135a,"Neoplastic Cells, Circulating"
32617074,hsa-mir-135a,Pulmonary Fibrosis
30747224,hsa-mir-135a,"Lymphoma, T-Cell, Cutaneous"
36032150,hsa-mir-135a,Melanoma
32560824,hsa-mir-135a,Stomach Neoplasms
32092823,hsa-mir-135a,"Carcinoma, Non-Small-Cell Lung"
31769229,hsa-mir-135a,Urinary Bladder Neoplasms
36775555,hsa-mir-135a,"Hypoxia-Ischemia, Brain"
34733371,hsa-mir-135a,"Carcinoma, Non-Small-Cell Lung"
34446088,hsa-mir-135a,Diabetic Nephropathies
34446088,hsa-mir-135a,Inflammation
34143347,hsa-mir-135a,Asthma
34143347,hsa-mir-135a,Pneumonia
33875790,hsa-mir-135a,"Hypoxia-Ischemia, Brain"
31827393,hsa-mir-135a,Squamous Cell Carcinoma of Head and Neck
31632583,hsa-mir-135a,Reperfusion Injury
31555350,hsa-mir-135a,Osteoporosis
35163214,hsa-mir-135a,"Depressive Disorder, Major"
31680311,hsa-mir-135a,Glioma
31545249,hsa-mir-135a,Atherosclerosis
31267381,hsa-mir-135a,Pancreatic Carcinoma
30536379,hsa-mir-135a,Glioma
36760373,hsa-mir-135a,"Carcinoma, Hepatocellular"
36760373,hsa-mir-135a,"Hepatitis B, Chronic"
32141566,hsa-mir-135a,Diabetic Nephropathies
32141566,hsa-mir-135a,"Fibrosis, Renal"
31015341,hsa-mir-135a,Epilepsy
30644128,hsa-mir-135a,Myocardial Reperfusion Injury
32810692,hsa-mir-135a,Osteosarcoma
32508871,hsa-mir-135a,Colorectal Neoplasms
32469047,hsa-mir-135a,Colorectal Neoplasms
35191145,hsa-mir-150,Pancreatic Diseases
33112219,hsa-mir-150,"Carcinoma, Squamous Cell"
35163020,hsa-mir-150,Vascular Diseases
33112219,hsa-mir-150,Immune System Diseases
36206975,hsa-mir-150,Bone Diseases
34092081,hsa-mir-150,Acute Lung Injury
33815136,hsa-mir-150,Stroke
33112219,hsa-mir-150,Lymphoproliferative Disorders
31537542,hsa-mir-150,Celiac Disease
36109176,hsa-mir-150,Acrodermatitis enteropathica
33112219,hsa-mir-150,Aspergillosis
36427469,hsa-mir-150,Endometriosis
36426391,hsa-mir-150,COVID-19
36426391,hsa-mir-150,"Diabetes Mellitus, Type 2"
36118276,hsa-mir-150,Nasopharyngeal Carcinoma
35398468,hsa-mir-150,Prostatic Neoplasms
34811354,hsa-mir-150,Thyroid Neoplasms
34753396,hsa-mir-150,Colorectal Neoplasms
34658294,hsa-mir-150,Pancreatic Carcinoma
33914383,hsa-mir-150,Diabetic Nephropathies
32945498,hsa-mir-150,Squamous Cell Carcinoma of Head and Neck
32246794,hsa-mir-150,Pregnancy Complications
30628646,hsa-mir-150,Breast Neoplasms
36569479,hsa-mir-150,"Carcinoma, Non-Small-Cell Lung"
35743464,hsa-mir-150,Tuberous Sclerosis 1
35402187,hsa-mir-150,Nasopharyngeal Carcinoma
33708967,hsa-mir-150,Cardiomegaly
31934174,hsa-mir-150,Myocarditis
31934174,hsa-mir-150,Sepsis
31052206,hsa-mir-150,Adenocarcinoma of Lung
30733855,hsa-mir-150,Breast Neoplasms
31572515,hsa-mir-150,Stomach Neoplasms
33336724,hsa-mir-150,"Lymphoma, Mantle-Cell"
33181172,hsa-mir-150,Sepsis
32924985,hsa-mir-150,"Carcinoma, Non-Small-Cell Lung"
32853944,hsa-mir-150,Colorectal Neoplasms
32326325,hsa-mir-150,Endotoxemia
32196599,hsa-mir-150,Squamous Cell Carcinoma of Head and Neck
31948396,hsa-mir-150,"Cholangitis, Biliary, Primary"
31948396,hsa-mir-150,Liver Cirrhosis
31318097,hsa-mir-150,Coronary Artery Disease
31159158,hsa-mir-150,Leiomyoma
30570857,hsa-mir-150,Colorectal Neoplasms
30566393,hsa-mir-150,Prostatic Neoplasms
30497506,hsa-mir-150,Neonatal Sepsis
30402842,hsa-mir-150,Colonic Neoplasms
34093756,hsa-mir-150,Osteoarthritis
32540401,hsa-mir-150,"Arthritis, Rheumatoid"
32210677,hsa-mir-150,Squamous Cell Carcinoma of Head and Neck
32117734,hsa-mir-150,"Carcinoma, Non-Small-Cell Lung"
34944699,hsa-mir-150,"Carcinoma, Non-Small-Cell Lung"
32747644,hsa-mir-150,Lung Injury
36741904,hsa-mir-150,Rhabdomyosarcoma
32963616,hsa-mir-150,Uterine Cervical Neoplasms
32549789,hsa-mir-150,Uterine Cervical Neoplasms
31726456,hsa-mir-150,Intervertebral Disc Degeneration
31285693,hsa-mir-146a,Lung Neoplasms
33161770,hsa-mir-146a,Osteoarthritis
32328683,hsa-mir-146a,Osteoarthritis
31612476,hsa-mir-146a,Osteoarthritis
30563239,hsa-mir-146a,Osteoarthritis
33161770,hsa-mir-146a,Cartilage Diseases
35689735,hsa-mir-146a,Polycystic Ovary Syndrome
32292108,hsa-mir-146a,Spinal Cord Injuries
32600285,hsa-mir-146a,Asthma
33459883,hsa-mir-146a,Hepatitis A
33985523,hsa-mir-146a,Neurogenic Inflammation
36238484,hsa-mir-146a,Neurotic Disorders
32176822,hsa-mir-146a,Periodontitis
36463687,hsa-mir-146a,Tendinopathy
33059199,hsa-mir-146a,Stillbirth
31544687,hsa-mir-146a,Choriocarcinoma
31061316,hsa-mir-146a,Status Epilepticus
34798192,hsa-mir-146a,Zika Virus Infection
31194941,hsa-mir-146a,Acne Vulgaris
32292108,hsa-mir-146a,Neuralgia
35240920,hsa-mir-146a,Stomach Neoplasms
35159335,hsa-mir-146a,"Pulmonary Disease, Chronic Obstructive"
34956213,hsa-mir-146a,COVID-19
34293926,hsa-mir-146a,"Carcinoma, Ductal, Breast"
34232111,hsa-mir-146a,Prostatic Neoplasms
32967672,hsa-mir-146a,Melanoma
32958516,hsa-mir-146a,Cardiomyopathies
32438838,hsa-mir-146a,Choroidal Neovascularization
32329848,hsa-mir-146a,Squamous Cell Carcinoma of Head and Neck
32216830,hsa-mir-146a,"Arthritis, Rheumatoid"
31779271,hsa-mir-146a,"Arthritis, Juvenile"
31484042,hsa-mir-146a,Non-alcoholic Fatty Liver Disease
31425002,hsa-mir-146a,"Carcinoma, Non-Small-Cell Lung"
31245894,hsa-mir-146a,"Arthritis, Rheumatoid"
30816543,hsa-mir-146a,"Carcinoma, Non-Small-Cell Lung"
36598302,hsa-mir-146a,Myocardial Reperfusion Injury
36370637,hsa-mir-146a,"Rhinitis, Allergic"
35475028,hsa-mir-146a,Hypertrophy
35116702,hsa-mir-146a,"Pulmonary Disease, Chronic Obstructive"
34820432,hsa-mir-146a,Atherosclerosis
34786060,hsa-mir-146a,"Diabetes Mellitus, Type 2"
34703677,hsa-mir-146a,"Glomerulonephritis, Membranous"
34612146,hsa-mir-146a,Neuralgia
34104112,hsa-mir-146a,Spinal Cord Injuries
34073426,hsa-mir-146a,Colonic Neoplasms
34017686,hsa-mir-146a,Osteosarcoma
32110074,hsa-mir-146a,Diabetic Neuropathies
35406750,hsa-mir-146a,Amyotrophic Lateral Sclerosis
35222878,hsa-mir-146a,Pancreatic Carcinoma
35193602,hsa-mir-146a,Esophageal Neoplasms
35112981,hsa-mir-146a,Acute Lung Injury
35112981,hsa-mir-146a,Sepsis
34214903,hsa-mir-146a,Heart   Transplant Rejection
33754051,hsa-mir-146a,Alzheimer Disease
33420081,hsa-mir-146a,"Lupus Erythematosus, Systemic"
33193424,hsa-mir-146a,Wounds and Injuries
33193424,hsa-mir-146a,"Diabetes Mellitus, Type 2"
33003976,hsa-mir-146a,Esophageal Neoplasms
32583510,hsa-mir-146a,"Pulmonary Disease, Chronic Obstructive"
32438863,hsa-mir-146a,Colorectal Neoplasms
32342557,hsa-mir-146a,"Pulmonary Disease, Chronic Obstructive"
32303750,hsa-mir-146a,"Thyroid Cancer, Papillary"
32155539,hsa-mir-146a,Drug Resistant Epilepsy
31676570,hsa-mir-146a,Coxsackievirus Infections
31325726,hsa-mir-146a,"Lichen Planus, Oral"
31298396,hsa-mir-146a,Asthma
31291804,hsa-mir-146a,Inflammation
31183875,hsa-mir-146a,Tuberous Sclerosis 1
30779672,hsa-mir-146a,Acquired Immunodeficiency Syndrome
30701447,hsa-mir-146a,"Adenocarcinoma, Follicular"
30582225,hsa-mir-146a,"Diabetes Mellitus, Type 2"
36504472,hsa-mir-146a,Diabetes Mellitus
36040608,hsa-mir-146a,Spinal Cord Injuries
35195809,hsa-mir-146a,"Plaque, Atherosclerotic"
35113000,hsa-mir-146a,Cerebral Hemorrhage
34712602,hsa-mir-146a,Squamous Cell Carcinoma of Head and Neck
34580912,hsa-mir-146a,Brain Ischemia
34532436,hsa-mir-146a,Acute Lung Injury
33454992,hsa-mir-146a,Femur Head Necrosis
33434756,hsa-mir-146a,Colitis
32996080,hsa-mir-146a,Diabetic Neuropathies
32435156,hsa-mir-146a,"Carcinoma, Hepatocellular"
32392329,hsa-mir-146a,Nerve Degeneration
32329869,hsa-mir-146a,Acute Lung Injury
32143869,hsa-mir-146a,Reperfusion Injury
31801723,hsa-mir-146a,"Shock, Hemorrhagic"
31801723,hsa-mir-146a,Pneumonia
31796120,hsa-mir-146a,"Epilepsy, Temporal Lobe"
31726250,hsa-mir-146a,Wounds and Injuries
31434993,hsa-mir-146a,Ischemic Stroke
31281454,hsa-mir-146a,Cardiomyopathies
31281454,hsa-mir-146a,Sepsis
31211901,hsa-mir-146a,Sepsis
31211901,hsa-mir-146a,Blood Coagulation Disorders
31210336,hsa-mir-146a,Spinal Cord Injuries
30915760,hsa-mir-146a,Inflammatory Bowel Diseases
30619488,hsa-mir-146a,Melanoma
31966510,hsa-mir-146a,"Carcinoma, Non-Small-Cell Lung"
32854478,hsa-mir-146a,Pre-Eclampsia
34141159,hsa-mir-146a,Drug-Induced Kidney Injury
33667725,hsa-mir-146a,Alcohol Induced Neurogenic Inflammation
35410355,hsa-mir-146a,Liver Neoplasms
33729395,hsa-mir-146a,Alzheimer Disease
32382320,hsa-mir-146a,Adenocarcinoma of Lung
35777802,hsa-mir-146a,Pancreatitis
33174051,hsa-mir-195,Hypoxia
34249465,hsa-mir-195,Breast Neoplasms
32271641,hsa-mir-195,Ischemic Stroke
31862871,hsa-mir-195,Drug Hypersensitivity
32901852,hsa-mir-195,Esophageal Neoplasms
35812136,hsa-mir-195,Bone Diseases
33174051,hsa-mir-195,Myocardial Infarction
31862871,hsa-mir-195,Tuberculosis
31221141,hsa-mir-195,Otitis Media
35812136,hsa-mir-195,Periodontal Diseases
32901852,hsa-mir-195,Esophageal Squamous Cell Carcinoma
35928970,hsa-mir-195,Stomach Neoplasms
35310196,hsa-mir-195,Squamous Cell Carcinoma of Head and Neck
34850451,hsa-mir-195,Coronary Disease
34808429,hsa-mir-195,Liver Neoplasms
34289449,hsa-mir-195,Triple Negative Breast Neoplasms
34118183,hsa-mir-195,"Dwarfism, Pituitary"
33882171,hsa-mir-195,Osteosarcoma
33686956,hsa-mir-195,"Brain Injuries, Traumatic"
33686956,hsa-mir-195,Nerve Degeneration
33171523,hsa-mir-195,Esophageal Neoplasms
32959905,hsa-mir-195,Hirschsprung Disease
32632205,hsa-mir-195,Alzheimer Disease
32188582,hsa-mir-195,Aortic Valve Disease
31927122,hsa-mir-195,Meningioma
31562977,hsa-mir-195,"Carcinoma, Hepatocellular"
31318114,hsa-mir-195,Stomach Neoplasms
31115003,hsa-mir-195,Stomach Neoplasms
30941987,hsa-mir-195,Laryngeal Neoplasms
30487160,hsa-mir-195,"Carcinoma, Non-Small-Cell Lung"
30442884,hsa-mir-195,Glioblastoma
35530496,hsa-mir-195,"Leukemia, Myeloid, Acute"
35088561,hsa-mir-195,"Diabetes Mellitus, Type 2"
34658906,hsa-mir-195,Diabetic Cardiomyopathies
34658906,hsa-mir-195,Cardiomyopathies
33629321,hsa-mir-195,Diabetic Nephropathies
33101368,hsa-mir-195,Prostatic Neoplasms
32819407,hsa-mir-195,"Brain Damage, Chronic"
32753887,hsa-mir-195,Liposarcoma
32699958,hsa-mir-195,Retinal Diseases
32606771,hsa-mir-195,"Lymphoma, Large B-Cell, Diffuse"
31508486,hsa-mir-195,Lung Neoplasms
31355230,hsa-mir-195,Adenocarcinoma of Lung
31004260,hsa-mir-195,Neuralgia
30607158,hsa-mir-195,Triple Negative Breast Neoplasms
35587844,hsa-mir-195,Colorectal Neoplasms
35399076,hsa-mir-195,Adenocarcinoma of Lung
35315366,hsa-mir-195,"Carcinoma, Non-Small-Cell Lung"
35242202,hsa-mir-195,"Carcinoma, Endometrioid"
35199935,hsa-mir-195,Pancreatic Carcinoma
35037833,hsa-mir-195,Stomach Neoplasms
34407055,hsa-mir-195,"Carcinoma, Hepatocellular"
33880593,hsa-mir-195,Breast Neoplasms
32756011,hsa-mir-195,Urinary Bladder Neoplasms
32749120,hsa-mir-195,Colorectal Neoplasms
32406336,hsa-mir-195,Lung Neoplasms
32221619,hsa-mir-195,Acute Lung Injury
32221619,hsa-mir-195,Sepsis
31663299,hsa-mir-195,Stomach Neoplasms
30942447,hsa-mir-195,Osteoarthritis
36607481,hsa-mir-195,"Carcinoma, Hepatocellular"
35819551,hsa-mir-195,Stomach Neoplasms
35433661,hsa-mir-195,Esophageal Squamous Cell Carcinoma
35087744,hsa-mir-195,Squamous Cell Carcinoma of Head and Neck
35087744,hsa-mir-195,"Leukoplakia, Oral"
34970545,hsa-mir-195,"Carcinoma, Hepatocellular"
34306328,hsa-mir-195,Colorectal Neoplasms
32753964,hsa-mir-195,"Carcinoma, Non-Small-Cell Lung"
33157501,hsa-mir-195,Uterine Cervical Neoplasms
36111048,hsa-mir-195,Gallbladder Neoplasms
35706791,hsa-mir-195,"Carcinoma, Non-Small-Cell Lung"
35117886,hsa-mir-195,Thyroid Neoplasms
34306345,hsa-mir-195,Colorectal Neoplasms
33204155,hsa-mir-195,Uterine Cervical Neoplasms
31558183,hsa-mir-195,Esophageal Squamous Cell Carcinoma
32251872,hsa-mir-125b,Alzheimer Disease
31044053,hsa-mir-125b,Breast Neoplasms
35430766,hsa-mir-125b,Drug Hypersensitivity
32842846,hsa-mir-125b,"Carcinoma, Ovarian Epithelial"
31950540,hsa-mir-125b,Cardiomyopathies
31950540,hsa-mir-125b,Myocardial Infarction
34173813,hsa-mir-125b,Myocardial Infarction
35558099,hsa-mir-125b,Growth Hormone-Secreting Pituitary Adenoma
31950540,hsa-mir-125b,"Fatigue Syndrome, Chronic"
36734950,hsa-mir-125b,Leukemia
36210713,hsa-mir-125b,Ovarian Neoplasms
36191448,hsa-mir-125b,Ovarian Neoplasms
35840794,hsa-mir-125b,Multiple Myeloma
35408829,hsa-mir-125b,Leukemia
33317921,hsa-mir-125b,Wounds and Injuries
33317921,hsa-mir-125b,Inflammation
33127171,hsa-mir-125b,Cystic Fibrosis
33078418,hsa-mir-125b,Burns
32649737,hsa-mir-125b,Colorectal Neoplasms
32466797,hsa-mir-125b,Melanoma
32417918,hsa-mir-125b,Medulloblastoma
30417784,hsa-mir-125b,Breast Neoplasms
36367475,hsa-mir-125b,Ischemic Stroke
32766131,hsa-mir-125b,Colonic Neoplasms
32636644,hsa-mir-125b,Melanoma
30687129,hsa-mir-125b,Muscular Atrophy
36234731,hsa-mir-125b,Glioma
35832651,hsa-mir-125b,"Arthritis, Rheumatoid"
35527652,hsa-mir-125b,"Rhinitis, Allergic"
35018772,hsa-mir-125b,Lung Neoplasms
33928675,hsa-mir-125b,Non-alcoholic Fatty Liver Disease
33894272,hsa-mir-125b,Ovarian Neoplasms
33880592,hsa-mir-125b,"Lupus Erythematosus, Systemic"
33749639,hsa-mir-125b,Pancreatic Carcinoma
33721450,hsa-mir-125b,Melanoma
33660877,hsa-mir-125b,Coronary Disease
33541259,hsa-mir-125b,Skin Neoplasms
33537800,hsa-mir-125b,"Tuberculosis, Pulmonary"
33515562,hsa-mir-125b,Non-alcoholic Fatty Liver Disease
33369107,hsa-mir-125b,Uterine Cervical Neoplasms
33293585,hsa-mir-125b,"Carcinoma, Hepatocellular"
33037850,hsa-mir-125b,"Carcinoma, Hepatocellular"
32964965,hsa-mir-125b,Liver Neoplasms
31601878,hsa-mir-125b,Colitis
31301111,hsa-mir-125b,Vascular Diseases
30551410,hsa-mir-125b,Osteoarthritis
30412716,hsa-mir-125b,Urinary Bladder Neoplasms
36732450,hsa-mir-125b,"Lupus Erythematosus, Systemic"
34183954,hsa-mir-125b,Laryngeal Neoplasms
33456986,hsa-mir-125b,Esophageal Squamous Cell Carcinoma
33408612,hsa-mir-125b,Alzheimer Disease
31423254,hsa-mir-125b,Melanoma
31043793,hsa-mir-125b,Uterine Cervical Neoplasms
31360737,hsa-mir-125b,Breast Neoplasms
31788123,hsa-mir-125b,Multiple Myeloma
35070046,hsa-mir-125b,Stomach Neoplasms
34745940,hsa-mir-125b,Breast Neoplasms
34671430,hsa-mir-125b,Breast Neoplasms
32982449,hsa-mir-125b,Stomach Neoplasms
32903925,hsa-mir-125b,Pancreatic Neoplasms
31557499,hsa-mir-125b,Polycystic Ovary Syndrome
36575638,hsa-mir-92a,Fibromuscular Dysplasia
36737651,hsa-mir-92a,Squamous Cell Carcinoma of Head and Neck
34828265,hsa-mir-92a,Cholangiocarcinoma
34643375,hsa-mir-92a,Colorectal Neoplasms
34496348,hsa-mir-92a,Stomach Neoplasms
34082648,hsa-mir-92a,Breast Neoplasms
32907305,hsa-mir-92a,Stomach Neoplasms
32799221,hsa-mir-92a,Colorectal Neoplasms
32386020,hsa-mir-92a,Pancreatic Carcinoma
35284121,hsa-mir-92a,Colorectal Neoplasms
34869346,hsa-mir-92a,Uterine Cervical Neoplasms
34252535,hsa-mir-92a,Podocyte Hypertrophy
33805203,hsa-mir-92a,Alzheimer Disease
33708421,hsa-mir-92a,Esophageal Neoplasms
33239917,hsa-mir-92a,"Leukemia, Myeloid, Acute"
31713921,hsa-mir-92a,Pancreatitis
36254053,hsa-mir-92a,"Carcinoma, Non-Small-Cell Lung"
35168644,hsa-mir-92a,Ovarian Neoplasms
34431444,hsa-mir-92a,Prostatic Neoplasms
33480300,hsa-mir-92a,Intracranial Aneurysm
32446370,hsa-mir-92a,Colorectal Neoplasms
31472228,hsa-mir-92a,Stomach Neoplasms
31378903,hsa-mir-92a,Glioma
31002156,hsa-mir-92a,"Diabetes Mellitus, Type 2"
31002156,hsa-mir-92a,Cardiovascular Diseases
36231079,hsa-mir-92a,Diabetic Cardiomyopathies
36231079,hsa-mir-92a,Pulmonary Fibrosis
36231079,hsa-mir-92a,Cardiomegaly
35274504,hsa-mir-92a,Acute Lung Injury
35274504,hsa-mir-92a,"Diabetes Mellitus, Type 2"
35274504,hsa-mir-92a,"Erectile Dysfunction, Diabetic"
35052738,hsa-mir-92a,Diabetes Mellitus
35052738,hsa-mir-92a,Diabetes Complications
34513301,hsa-mir-92a,Ischemic Stroke
31289586,hsa-mir-92a,Colorectal Neoplasms
30411211,hsa-mir-92a,"Encephalomyelitis, Autoimmune, Experimental"
31933974,hsa-mir-92a,Colorectal Neoplasms
36777638,hsa-mir-92a,Parkinson Disease
36121621,hsa-mir-92a,Cardiomyopathies
32606766,hsa-mir-92a,Prostatic Neoplasms
32297644,hsa-mir-92a,Spinal Cord Injuries
31235746,hsa-mir-126,Breast Neoplasms
31364749,hsa-mir-126,Triple Negative Breast Neoplasms
36451861,hsa-mir-126,Triple Negative Breast Neoplasms
32323808,hsa-mir-126,Uterine Cervical Neoplasms
36451861,hsa-mir-126,Pancreatic Carcinoma
33548626,hsa-mir-126,Pre-Eclampsia
36564067,hsa-mir-126,Myocardial Infarction
32909217,hsa-mir-126,Mycosis Fungoides
31269463,hsa-mir-126,Anovulation
33899983,hsa-mir-126,Axenfeld-Rieger syndrome
36862865,hsa-mir-126,"Carcinoma, Ovarian Epithelial"
36672843,hsa-mir-126,Peripheral Arterial Disease
36208243,hsa-mir-126,"Lymphoma, Large B-Cell, Diffuse"
34426436,hsa-mir-126,"Lymphoma, T-Cell, Peripheral"
34382070,hsa-mir-126,Endometriosis
34087832,hsa-mir-126,Instent Restenosis
33760211,hsa-mir-126,Sepsis
33677813,hsa-mir-126,Hypothyroidism
33131267,hsa-mir-126,Stomach Neoplasms
33040828,hsa-mir-126,"Carcinoma, Squamous Cell, Skin"
32818384,hsa-mir-126,Coronary Disease
32554852,hsa-mir-126,Esophageal Squamous Cell Carcinoma
32031750,hsa-mir-126,Liver Injury
32031750,hsa-mir-126,Sepsis
32031750,hsa-mir-126,Colorectal Neoplasms
31974341,hsa-mir-126,Burns
31841187,hsa-mir-126,Squamous Cell Carcinoma of Head and Neck
31665654,hsa-mir-126,Breast Neoplasms
31585904,hsa-mir-126,Thyroid Neoplasms
31357837,hsa-mir-126,Stomach Neoplasms
31323164,hsa-mir-126,Pre-Eclampsia
31081101,hsa-mir-126,Glioma
30980849,hsa-mir-126,Glioblastoma
30601064,hsa-mir-126,Endometrial Neoplasms
30528230,hsa-mir-126,"Carcinoma, Non-Small-Cell Lung"
36153449,hsa-mir-126,Brain Ischemia
36076481,hsa-mir-126,Diabetes Mellitus
36076481,hsa-mir-126,Diabetic Nephropathies
35582235,hsa-mir-126,Cerebral Hemorrhage
35582235,hsa-mir-126,Brain Injuries
35416858,hsa-mir-126,Myocardial Reperfusion Injury
35328298,hsa-mir-126,Breast Neoplasms
34175330,hsa-mir-126,Diabetes Mellitus
33868482,hsa-mir-126,"Sarcoma, Synovial"
32377580,hsa-mir-126,"Plaque, Atherosclerotic"
32078829,hsa-mir-126,"Aortic Aneurysm, Abdominal"
32067150,hsa-mir-126,Brain Ischemia
31686732,hsa-mir-126,Breast Neoplasms
31186724,hsa-mir-126,Breast Neoplasms
32273718,hsa-mir-126,Colorectal Neoplasms
35842617,hsa-mir-126,Adenocarcinoma of Lung
35682592,hsa-mir-126,Alzheimer Disease
34636432,hsa-mir-126,Lung Neoplasms
33903887,hsa-mir-126,"Reperfusion Injury, Hepatic Ischemia"
33256566,hsa-mir-126,Breast Neoplasms
33098220,hsa-mir-126,Neurodegenerative Diseases
30535503,hsa-mir-126,Adenocarcinoma of Lung
